,link,max_salary,min_salary,site,title
126,https://www.superjob.ru/vakansii/dorozhnyj-rabochij-33882923.html,,35000руб.,https://www.superjob.ru,Дорожный рабочий
127,https://www.superjob.ru/vakansii/rabochij-po-kompleksnomu-obsluzhivaniyu-zdaniya-27849818.html,30000руб.,25000руб.,https://www.superjob.ru,Рабочий по комплексному обслуживанию здания
128,https://www.superjob.ru/vakansii/merchendajzer-33832067.html,,7200руб.,https://www.superjob.ru,Мерчендайзер (на неполный рабочий день)
129,https://www.superjob.ru/vakansii/rabochij-po-kompleksnomu-obsluzhivaniyu-zdaniya-33942600.html,,27000руб.,https://www.superjob.ru,Рабочий по комплексному обслуживанию здания
130,https://www.superjob.ru/vakansii/rabochij-po-blagoustrojstvu-i-ozeleneniyu-33588478.html,60000руб.,,https://www.superjob.ru,Рабочий по благоустройству и озеленению
131,https://www.superjob.ru/vakansii/rabochij-mebelnogo-proizvodstva-30026685.html,,50000руб.,https://www.superjob.ru,Рабочий мебельного производства (участок присадки) / Оператор сверлильно-присадочного станка
132,https://www.superjob.ru/vakansii/kladovschik-otk-31690802.html,,40000руб.,https://www.superjob.ru,Кладовщик ОТК / Рабочий производства
133,https://www.superjob.ru/vakansii/podsobnyj-rabochij-25078495.html,28900руб.,28900руб.,https://www.superjob.ru,Подсобный рабочий (грузчик)
134,https://www.superjob.ru/vakansii/podsobnyj-rabochij-33941446.html,,41200руб.,https://www.superjob.ru,Подсобный рабочий
135,https://www.superjob.ru/vakansii/kuhonnyj-rabochij-33854149.html,30000руб.,27500руб.,https://www.superjob.ru,"Кухонный рабочий, посудомойщик"
136,https://www.superjob.ru/vakansii/kuhonnyj-rabochij-33390943.html,,19000руб.,https://www.superjob.ru,Кухонный рабочий
137,https://www.superjob.ru/vakansii/podsobnyj-rabochij-33913942.html,35000руб.,30000руб.,https://www.superjob.ru,"Подсобный рабочий, мастер мебельного цеха"
